model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
QWEN3_32B,5000,1000,0,20,1.408,20,20,427.301,13.697,14110.418,1.408,0.176,1406.922,175.865,73.01,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,12.819,0.01,2.0,18.0,10018.0,10000,18.0,sglang,0.5.1.post1,h200_sxm,0.0,175.865
QWEN3_32B,5000,1000,0,16,1.271,16,16,406.203,12.081,12475.529,1.271,0.159,1269.905,158.738,82.772,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,12.453,0.008,2.0,14.0,10014.0,10000,14.0,sglang,0.5.1.post1,h200_sxm,0.0,158.738
QWEN3_32B,5000,1000,0,15,1.227,15,15,260.087,11.961,12209.509,1.227,0.153,1225.707,153.213,83.602,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,11.791,0.015,1.0,14.0,5014.0,5000,14.0,sglang,0.5.1.post1,h200_sxm,0.0,153.213
QWEN3_32B,5000,1000,0,15,1.225,15,15,405.459,11.738,12131.273,1.225,0.153,1223.97,152.996,85.197,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,12.361,0.008,2.0,13.0,10013.0,10000,13.0,sglang,0.5.1.post1,h200_sxm,0.0,152.996
QWEN3_32B,5000,1000,0,14,1.194,14,14,395.721,11.224,11608.354,1.194,0.149,1192.347,149.043,89.096,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,12.269,0.007,2.0,12.0,10012.0,10000,12.0,sglang,0.5.1.post1,h200_sxm,0.0,149.043
QWEN3_32B,5000,1000,0,13,1.144,13,13,248.429,11.095,11332.31,1.144,0.143,1143.241,142.905,90.131,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,11.608,0.013,1.0,12.0,5012.0,5000,12.0,sglang,0.5.1.post1,h200_sxm,0.0,142.905
QWEN3_32B,5000,1000,0,13,1.142,13,13,394.993,10.88,11264.101,1.142,0.143,1140.614,142.577,91.912,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,12.178,0.006,2.0,11.0,10011.0,10000,11.0,sglang,0.5.1.post1,h200_sxm,0.0,142.577
QWEN3_32B,5000,1000,0,12,1.103,12,12,385.305,10.368,10743.108,1.103,0.138,1102.375,137.797,96.449,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,12.086,0.006,2.0,10.0,10010.0,10000,10.0,sglang,0.5.1.post1,h200_sxm,0.0,137.797
QWEN3_32B,5000,1000,0,11,1.048,11,11,236.903,10.233,10459.425,1.048,0.131,1046.752,130.844,97.725,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,11.424,0.011,1.0,10.0,5010.0,5000,10.0,sglang,0.5.1.post1,h200_sxm,0.0,130.844
QWEN3_32B,5000,1000,0,11,1.044,11,11,384.593,10.027,10401.252,1.044,0.131,1043.268,130.408,99.734,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,11.994,0.006,2.0,9.0,10009.0,10000,9.0,sglang,0.5.1.post1,h200_sxm,0.0,130.408
QWEN3_32B,5000,1000,0,10,0.998,10,10,374.954,9.515,9880.755,0.998,0.125,996.765,124.596,105.094,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,11.903,0.005,2.0,8.0,10008.0,10000,8.0,sglang,0.5.1.post1,h200_sxm,0.0,124.596
QWEN3_32B,5000,1000,0,9,0.934,9,9,225.51,9.371,9587.064,0.934,0.117,932.971,116.621,106.713,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,11.241,0.009,1.0,8.0,5008.0,5000,8.0,sglang,0.5.1.post1,h200_sxm,0.0,116.621
QWEN3_32B,5000,1000,0,9,0.93,9,9,374.279,9.174,9538.944,0.93,0.116,928.726,116.091,109.006,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,11.811,0.004,2.0,7.0,10007.0,10000,7.0,sglang,0.5.1.post1,h200_sxm,0.0,116.091
QWEN3_32B,5000,1000,0,8,0.872,8,8,364.709,8.662,9018.483,0.872,0.109,871.522,108.94,115.441,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,11.719,0.004,2.0,6.0,10006.0,10000,6.0,sglang,0.5.1.post1,h200_sxm,0.0,108.94
