model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
QWEN3_32B,5000,1000,0,42,1.311,1,1,2,14,14,3,804.674,29.498,30273.176,1.311,0.164,1311.0,163.875,33.901,2.237,0.475,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,26.467,sglang,0.5.1.post1,h200_sxm,0.0,163.875
QWEN3_32B,5000,1000,0,32,1.023,1,1,4,32,32,1,804.674,28.797,29572.877,1.023,0.128,1023.04,127.88,34.725,2.237,1.112,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,19.62,sglang,0.5.1.post1,h200_sxm,0.0,127.88
QWEN3_32B,5000,1000,0,28,0.908,1,1,1,4,4,7,804.674,28.351,29127.323,0.908,0.114,908.04,113.505,35.272,2.237,0.141,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,39.191,sglang,0.5.1.post1,h200_sxm,0.0,113.505
