model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster
QWEN3_32B,5000,1000,0,32,1.032,32,32,778.477,30.205,30953.015,1.032,0.258,1031.378,257.845,33.107,4,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,20.663,0.016,2.0,30.0,10030.0,10000,30.0,sglang,0.5.1.post1,h200_sxm,0.0,257.845
QWEN3_32B,5000,1000,0,56,1.962,56,56,628.187,28.048,28648.552,1.962,0.245,1959.912,244.989,35.653,8,8,1,1,1,1,tp8pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,16.119,0.028,2.0,54.0,10054.0,10000,54.0,sglang,0.5.1.post1,h200_sxm,0.0,244.989
QWEN3_32B,5000,1000,0,14,0.459,14,14,639.262,29.828,30437.732,0.459,0.23,458.694,229.347,33.525,2,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,27.069,0.014,1.0,13.0,5013.0,5000,13.0,sglang,0.5.1.post1,h200_sxm,0.0,229.347
QWEN3_32B,5000,1000,0,5,0.164,5,5,877.649,29.405,30252.755,0.164,0.164,163.395,163.395,34.008,1,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,40.964,0.005,1.0,4.0,5004.0,5000,4.0,sglang,0.5.1.post1,h200_sxm,0.0,163.395
