model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
QWEN3_32B,5000,1000,0,42,1.311,1,1,2,14,14,3,804.674,29.498,30273.176,1.311,0.164,1311.0,163.875,33.901,2.237,0.475,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,26.467,sglang,0.5.1.post1,h200_sxm,0.0,163.875
QWEN3_32B,5000,1000,0,30,1.143,1,1,2,10,10,3,804.674,24.159,24939.515,1.143,0.143,1142.64,142.83,41.392,2.237,0.414,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,25.002,sglang,0.5.1.post1,h200_sxm,0.0,142.83
QWEN3_32B,5000,1000,0,18,0.869,1,1,2,6,6,3,804.674,19.04,19825.634,0.869,0.109,869.4,108.675,52.522,2.237,0.315,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,23.537,sglang,0.5.1.post1,h200_sxm,0.0,108.675
QWEN3_32B,5000,1000,0,16,0.796,1,1,4,16,16,1,804.674,18.505,19291.169,0.796,0.099,795.8,99.475,54.038,2.237,0.865,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,16.69,sglang,0.5.1.post1,h200_sxm,0.0,99.475
QWEN3_32B,5000,1000,0,15,0.776,1,1,2,5,5,3,804.674,17.813,18599.861,0.776,0.097,775.56,96.945,56.138,2.237,0.281,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,23.171,sglang,0.5.1.post1,h200_sxm,0.0,96.945
QWEN3_32B,5000,1000,0,13,0.721,1,1,4,13,13,1,804.674,16.607,17395.067,0.721,0.09,721.28,90.16,60.216,2.237,0.784,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,16.141,sglang,0.5.1.post1,h200_sxm,0.0,90.16
QWEN3_32B,5000,1000,0,12,0.692,1,1,4,12,12,1,804.674,15.974,16762.7,0.692,0.086,691.84,86.48,62.603,2.237,0.752,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,15.958,sglang,0.5.1.post1,h200_sxm,0.0,86.48
QWEN3_32B,5000,1000,0,10,0.627,1,1,4,10,10,1,804.674,14.708,15497.966,0.627,0.078,626.52,78.315,67.991,2.237,0.681,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,15.592,sglang,0.5.1.post1,h200_sxm,0.0,78.315
QWEN3_32B,5000,1000,0,8,0.548,1,1,4,8,8,1,804.674,13.442,14233.232,0.548,0.069,548.32,68.54,74.396,2.237,0.596,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,15.226,sglang,0.5.1.post1,h200_sxm,0.0,68.54
QWEN3_32B,5000,1000,0,7,0.501,1,1,4,7,7,1,804.674,12.849,13640.825,0.501,0.063,501.4,62.675,77.829,2.237,0.545,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,15.042,sglang,0.5.1.post1,h200_sxm,0.0,62.675
QWEN3_32B,5000,1000,0,5,0.395,1,1,4,5,5,1,804.674,11.671,12464.003,0.395,0.049,394.68,49.335,85.686,2.237,0.429,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,14.676,sglang,0.5.1.post1,h200_sxm,0.0,49.335
QWEN3_32B,5000,1000,0,3,0.27,1,1,4,3,3,1,804.674,10.208,11002.466,0.27,0.034,270.48,33.81,97.961,2.237,0.294,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,14.31,sglang,0.5.1.post1,h200_sxm,0.0,33.81
QWEN3_32B,5000,1000,0,2,0.198,1,1,4,2,2,1,804.674,9.328,10123.346,0.198,0.025,197.8,24.725,107.206,2.237,0.215,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,14.127,sglang,0.5.1.post1,h200_sxm,0.0,24.725
QWEN3_32B,5000,1000,0,1,0.102,1,1,4,1,1,1,804.674,8.993,9788.681,0.102,0.013,102.12,12.765,111.197,2.237,0.111,8,1,1,1,1,1,tp1pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,37.912,sglang,0.5.1.post1,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,fp8_block,fp8,fp8,fp8_block,half,13.944,sglang,0.5.1.post1,h200_sxm,0.0,12.765
